Vehicle_ID,Vehicle_Type,Total_Distance_KM,Total_Fuel_Liters,Total_Fuel_Cost_INR,Total_Maint_Cost_INR,Avg_Mileage_KMPL,Num_Trips,Fraud_Flags,Cost_Per_KM_INR,Total_Cost_INR,Overall_Cost_Per_KM,Score_Mileage,Score_CostPerKM,Score_Maint,Score_Distance,Efficiency_Score,Rank
VH1151,Car,155.0,7.11,634.21,1088.36,21.81,1,0,4.091677419354839,1722.57,11.113354838709677,0.9999999999451303,1.0,0.9392191938052995,0.08068950930621792,0.853,1
VH1086,Car,717.1,35.67,3262.29,4365.41,20.09,4,0,4.5492818295914095,7627.7,10.636870729326453,0.9056241426114884,0.9916410901548879,0.7503013588386919,0.3779082064295803,0.8333,2
VH1097,Car,480.5,24.12,2278.31,3388.86,20.31,4,0,4.7415400624349635,5667.17,11.794318418314257,0.9176954732006751,0.9881291720016318,0.80659824528737,0.2528024534685635,0.8259,3
VH1196,Car,238.5,11.73,983.26,2968.66,20.73,2,0,4.1226834381551365,3951.92,16.569895178197065,0.9407407406891227,0.9994336232125176,0.830822249880821,0.12484137055830963,0.8224,4
VH1188,Car,515.5,25.52,2289.1099999999997,5399.07,20.4925,4,0,4.440562560620756,7688.179999999999,14.914025218234721,0.9277091906212506,0.9936270294234416,0.6907121522987906,0.27130922165806304,0.8168,5
VH1198,Car,137.8,6.75,696.13,1371.42,20.41,1,0,5.051741654571843,2067.55,15.003991291727141,0.9231824416503056,0.98246282114382,0.9229011387357559,0.07159475465309244,0.8162,6
VH1090,Car,336.20000000000005,17.310000000000002,1623.1999999999998,2118.26,19.735,2,0,4.828078524687685,3741.46,11.128673408685305,0.8861454046153007,0.9865484022626968,0.8798467465639973,0.17650169204728405,0.8139,7
VH1045,Car,178.39999999999998,9.04,814.1700000000001,3077.4900000000002,20.405,2,0,4.563733183856503,3891.6600000000003,21.81423766816144,0.9229080932278241,0.9913771120009639,0.8245483364588665,0.09306260575291186,0.8076,8
VH1018,Car,293.3,14.709999999999999,1439.0900000000001,2927.19,19.97,2,0,4.9065461984316405,4366.280000000001,14.886737129219231,0.899039780471932,0.9851150589733646,0.833212943527871,0.15381768189501177,0.8075,9
VH1007,Car,340.4,17.1,1551.47,4315.45,20.12,3,0,4.557784958871916,5866.92,17.23537015276146,0.9072702331463776,0.9914857662780477,0.7531814903700789,0.17872250423002395,0.8044,10
VH1042,Car,754.5,41.120000000000005,3832.41,5430.68,19.046666666666667,6,0,5.079403578528827,9263.09,12.277123923127899,0.8483767717870119,0.981957529841275,0.6888898753230671,0.39768401015207405,0.8036,11
VH1106,Car,287.5,15.92,1357.38,1649.87,19.09,2,0,4.721321739130435,3007.25,10.46,0.850754458115185,0.988498493489671,0.9068488444019948,0.15075084602360897,0.8024,12
VH1122,Car,342.5,18.29,1479.8600000000001,1914.77,18.68,2,0,4.3207591240875916,3394.63,9.911328467153284,0.8282578874717006,0.9958154395495539,0.8915776906256854,0.17983291032139395,0.7991,13
VH1051,Car,652.5,38.55,3498.52,4353.79,18.826,5,0,5.361716475095785,7852.3099999999995,12.034191570881225,0.8362688614081609,0.9768006126487687,0.7509712373093628,0.34374999999981826,0.7988,14
VH1133,Car,784.4,43.68,4230.43,3692.85,17.97,4,0,5.393204997450281,7923.280000000001,10.10107088220296,0.7893004114793251,0.9762254221269357,0.789073601888124,0.41349407783396075,0.7983,15
VH1109,Car,502.3,26.84,2320.56,4340.26,19.15,4,0,4.619868604419669,6660.82,13.260641051164642,0.8540466391849632,0.9903517046641719,0.751751224891822,0.2643295262265946,0.798,16
VH1126,Car,194.5,9.19,796.94,5579.18,20.80333333333333,3,0,4.097377892030849,6376.120000000001,32.782107969151674,0.9447645175521848,0.9998958713331704,0.680329036003392,0.10157571912008166,0.7979,17
VH1141,Car,972.5999999999999,59.39,5502.0599999999995,5531.78,17.99,6,0,5.657063541024059,11033.84,11.344684351223526,0.7903978051692511,0.971405604554689,0.6830615867357328,0.5130076142129267,0.796,18
VH1001,Car,1404.4,115.1,10798.56,6853.38,17.41857142857143,7,1,7.6890914269438895,17651.94,12.569025918541724,0.7590436997427921,0.9342872168792369,0.6068729992281059,0.7413282571908094,0.7949,19
VH1088,Car,1139.7,65.83,5994.68,7981.69,18.173333333333332,6,0,5.259875405808546,13976.369999999999,12.263200842326928,0.8004572473269067,0.9786609100970861,0.5418273385359673,0.6013642131976517,0.7942,20
VH1180,Car,842.2,51.62,4898.74,3887.89,17.7,4,0,5.816599382569461,8786.63,10.432949418190452,0.7744855966653231,0.9684914156030295,0.7778297897607878,0.4440566835869057,0.7933,21
VH1152,Car,305.1,17.259999999999998,1672.27,816.0600000000001,18.244999999999997,2,0,5.48105539167486,2488.33,8.155784988528351,0.8043895747158084,0.9746206877564755,0.9549169483288518,0.16005710659890018,0.7899,22
VH1072,Car,572.1,32.02,3034.62,4492.58,18.6575,4,0,5.304352385946513,7527.2,13.157140360076909,0.8270233195705337,0.9778484636720967,0.7429701673485701,0.30123730964451084,0.7883,23
VH1028,Car,675.6,37.74,3272.8100000000004,5592.88,18.5575,4,0,4.844301361752517,8865.69,13.122690941385436,0.8215363511209035,0.986252065012829,0.6795392481334961,0.355964467004888,0.7881,24
VH1037,Car,1140.1,65.31,6257.17,7306.76,17.62,6,0,5.488264187351987,13563.93,11.897140601701606,0.770096021905619,0.9744890070475292,0.5807362091220164,0.6015757191198172,0.788,25
VH1043,Car,815.9,45.14,4039.96,7806.75,19.01,6,0,4.95153817869837,11846.71,14.519806348817257,0.8463648833554808,0.9842932052097433,0.5519124107957919,0.4301501692045103,0.788,26
VH1085,Car,1572.7,89.97,8212.32,12372.02,18.007777777777775,9,0,5.221796909773001,20584.34,13.088535639346347,0.7913732662269631,0.9793564775091965,0.28873030358412144,0.8303193739420314,0.7876,27
VH1030,Car,2.4,0.12,12.42,1599.25,19.53,1,0,5.175,1611.67,671.5291666666667,0.8748971192935586,0.9802113013287924,0.9097670241081358,0.0,0.7858,28
VH1038,Car,966.0,55.260000000000005,4821.11,6744.0599999999995,17.763333333333332,6,0,4.990797101449275,11565.169999999998,11.972225672877846,0.7779606766834223,0.9835760753295453,0.6131751605373779,0.5095177664971926,0.7849,29
VH1052,Car,296.9,16.83,1474.32,2274.6,18.395,2,0,4.965712361064331,3748.92,12.626877736611656,0.8126200273902541,0.984034290064096,0.8708339410472431,0.15572123519450312,0.7828,30
VH1008,Car,951.4000000000001,53.760000000000005,5020.95,8590.49,18.606666666666666,6,0,5.277433256253941,13611.439999999999,14.306747950388898,0.8242341106086383,0.9783401865951619,0.5067307797627809,0.5017978003381443,0.7822,31
VH1031,Car,197.5,10.54,972.37,2923.91,18.965,2,0,4.923392405063291,3896.2799999999997,19.727999999999998,0.843895747553147,0.9848073348358432,0.833402031426649,0.10316201353632448,0.7805,32
VH1199,Car,465.0,26.59,2601.88,1849.07,17.59,2,0,5.595440860215054,4450.95,9.571935483870968,0.7684499313707298,0.9725312458766997,0.8953652134762083,0.24460659898464227,0.7803,33
VH1069,Car,1023.8,57.06,5017.780000000001,9126.55,18.295714285714286,7,0,4.901133033795664,14144.33,13.815520609494042,0.8071722515724068,0.9852139394783526,0.4758275910374945,0.5400803722501375,0.7797,34
VH1055,Car,354.6,19.21,1925.1599999999999,2296.63,18.073333333333334,3,0,5.4291032148900165,4221.79,11.905781161872532,0.7949702788772766,0.9755696811496496,0.8695639390929506,0.18623096446690665,0.7781,35
VH1172,Car,564.4,32.72,2944.99,4175.12,17.9625,4,0,5.217912827781715,7120.11,12.615361445783133,0.7888888888456028,0.9794274267624596,0.7612713394052977,0.2971658206428209,0.7777,36
VH1195,Car,434.0,24.14,2161.55,3455.25,18.08,2,0,4.980529953917051,5616.8,12.941935483870969,0.7953360767739184,0.9837636219498761,0.8027709447996041,0.22821489001679984,0.7773,37
VH1114,Car,987.1,52.73,4922.47,10672.07,18.97714285714286,7,0,4.986799716340796,15594.54,15.798338567521022,0.8445620222934594,0.9836490942537307,0.38673029551329086,0.5206747038914338,0.776,38
VH1017,Car,169.2,9.24,905.23,2628.84,18.83,2,0,5.350059101654847,3534.07,20.88693853427896,0.836488340146146,0.9770135540703193,0.8504124479792182,0.08819796954310057,0.7755,39
VH1134,Car,249.5,14.629999999999999,1237.78,2071.74,18.044999999999998,2,0,4.961042084168336,3309.5199999999995,13.264609218436872,0.7934156378165478,0.9841196004821166,0.8825285663966659,0.13065778341786663,0.7741,40
VH1185,Car,278.5,15.530000000000001,1314.04,1919.47,17.76,2,0,4.7182764811490125,3233.51,11.610448833034113,0.7777777777351015,0.9885541202195547,0.8913067415024365,0.14599196277488052,0.7738,41
VH1104,Car,711.5,41.19,3872.13,4769.52,17.485,4,0,5.442206605762474,8641.650000000001,12.145678144764585,0.7626886144986179,0.9753303258014101,0.7270049226267463,0.37494712351926035,0.7736,42
VH1054,Car,671.0,41.510000000000005,3933.31,3979.26,17.4225,4,0,5.861862891207154,7912.57,11.79220566318927,0.759259259217599,0.9676646019196117,0.7725624235073285,0.3535321488999823,0.7733,43
VH1073,Car,581.3,32.28,2994.6099999999997,5113.42,18.043333333333333,3,0,5.151574058145536,8108.03,13.948099088250475,0.7933241883423874,0.9806392153340291,0.7071795176298692,0.3061019458543221,0.7729,44
VH1025,Car,690.3000000000001,39.77,3445.6899999999996,6226.88,18.022,5,0,4.9915833695494705,9672.57,14.01212516297262,0.7921536350731329,0.9835617128277498,0.6429899408696981,0.3637373096444778,0.7725,45
VH1119,Car,857.3,52.22,4709.28,5553.2,17.172,5,0,5.493152921964307,10262.48,11.970698705237373,0.745514403251275,0.9743997061339739,0.681826750518713,0.4520410321486612,0.7721,46
VH1105,Car,922.0,52.59,4845.780000000001,7436.73,17.64428571428571,7,0,5.2557266811279835,12282.51,13.321594360086769,0.7714285713862433,0.978736693491654,0.5732436011329378,0.4862521150589646,0.7715,47
VH1010,Car,410.0,21.57,2025.4700000000003,4786.95,18.44666666666667,3,0,4.940170731707318,6812.42,16.615658536585364,0.8154549610892299,0.9845008506398172,0.7260001049207401,0.2155245346868573,0.7712,48
VH1125,Car,416.4,24.16,2275.01,3680.96,18.076666666666668,3,0,5.46352065321806,5955.97,14.303482228626322,0.7951531778255976,0.9749409890792758,0.7897590455211942,0.21890862944150863,0.7708,49
